video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=WdqcXxAl7HU&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@AustinSuburbs,Austin Suburbs | Alisha & Matthew Wilson,November 2025 Austin Market Update | Austin Suburb New Construction Market Has Shifted BIG TIME,702,2 months,Grab your FREE Austin Suburbs Guide and explore the best places to live near the Austin city: https://bit.ly/AustinSuburbsGuide ...,2026-02-03 04:17:29.984957
/watch?v=-9NDBVgp_ao&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@FOX7Austin,FOX 7 Austin,East Austin historic neighborhood redevelopment pushes completion to 2025 | FOX 7 Austin,366,1 year,The redevelopment of a historic neighborhood in east Austin is taking longer than expected. FOX 7 Austin's Rudy Koski spoke ...,2026-02-03 04:17:29.986434
/watch?v=rQOCqydgS14&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@CBSAustin,CBS Austin,Austin protest urges Congress to protect housing assistance funds in national movement,478,4 months,"A group of housing advocates rallied outside Senator John Cornyn's office on Tuesday, urging him to oppose the Trump ...",2026-02-03 04:17:29.987822
/watch?v=kBhvx55Ta4M&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,"Austin affordable housing shortage hits communities of color hardest, study finds",226,2 years,"Austin affordable housing shortage hits communities of color hardest, study finds Stay informed about Austin and Central Texas ...",2026-02-03 04:17:29.989209
/watch?v=0EP6d5mQUGU&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Couple may lose home after unpaid work on Austin affordable housing project,2.3K,2 years,The Gages were subcontracted to work on Austin's Balcones Terrace project. The work didn't go as planned. Read more: ...,2026-02-03 04:17:29.990652
/watch?v=UKCmfLW16yM&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,New complex aims to improve Austin's affordable housing shortage,194,2 years,Austin (KXAN) — Developers and community leaders celebrated the grand opening of a new affordable housing project ...,2026-02-03 04:17:29.992002
/shorts/qOE4zpHLb3A,/@Austin_Statesman,Austin American-Statesman,"'Something is profoundly wrong': Politicians, protesters rally in Austin against",2.3K,2 days,Thousands of protesters gathered as elected officials called for Homeland Security Secretary Kristi Noem to be impeached and ...,2026-02-03 04:17:29.993435
/watch?v=YtW_avS7aIo&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Austin parks department facing $5.2M in budget cuts after Proposition Q rejected,137,2 months,Austin parks could see less maintenance resources as the city's Parks and Recreation Department faces a $5.2 million budget cut.,2026-02-03 04:17:29.994890
/watch?v=Iym-4TGfMMQ&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@HarvardJCHS,Harvard Joint Center for Housing Studies,Housing + Innovation: Innovations in Public Policy & Regulatory Reform,233,6 years,"Creatively Using Surplus Land, Mardie Oakes, President, Hello Housing, Oakland A Systematic Approach to ADUs: Austin's Alley ...",2026-02-03 04:17:29.996364
/watch?v=syizLyN1SJQ&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@KVUETV,KVUE,Concerns rise over proposed development in South Austin,643,1 year,"More affordable housing could be coming to southwest Austin, but a number of neighbors say the city is illegally rushing the ...",2026-02-03 04:17:37.839702
/watch?v=xtA7TvsLFMI&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Austin housing initiative sparks growth of multi-home developments on single-family lots,769,1 year,The city of Austin has released a report from the first six months of implementing Phase 1 of its HOME Initiative. Read more: ...,2026-02-03 04:17:37.843848
/watch?v=bXEASL_CQuw&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Austin aims to redevelop St. Johns into 'inclusive and vibrant' community,1.7K,2 years,Austin's St. Johns neighborhood will soon see new a development aimed at bringing affordable housing. KVUE spoke with ...,2026-02-03 04:17:37.845457
/shorts/5I7XcDTxFTc,/@ReventureConsulting,Reventure Consulting,"Austin, TX Impending Condo Collapse",16K,2 months,Austin's condo market is collapsing — and owners are liquidating. Austin built more apartments per capita than any city in America ...,2026-02-03 04:17:37.846961
/watch?v=NHjp6rfnzlk&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@TexasPublicPolicyFoundation,Texas Public Policy Foundation,Texas Housing Reform 2025: New Laws from the 89th Legislature | Fast Facts,154,5 months,SB 840 – Zoning reform: Allows mixed-use and multi-family housing by right in many commercial zones in big cities. HB 24 ...,2026-02-03 04:17:37.848279
/watch?v=R1mODgBJVME&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Large mixed-use apartments could be new reality for North Austin neighborhood,1.7K,1 year,"The proposed project falls under the city's newest Density Bonus Program (DB90), which allows developers to build up to 90-feet ...",2026-02-03 04:17:37.851757
/watch?v=wVbLE1qyZz4&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@CBSAustin,CBS Austin,Minimum lot sizes reduced in Austin to boost housing affordability,530,1 year,"The Austin City Council passed controversial changes to the city's land development code, reducing minimum lot sizes for ...",2026-02-03 04:17:37.853130
/watch?v=Lu2nzznurbw&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,Austin city council approves new expense policy for officeholders in response to spending concerns,69,11 days,Austin's city council voted unanimously to approve a new expense policy for officeholders during its regular meeting on Thursday.,2026-02-03 04:17:37.854454
/watch?v=lgpLqliRJ_s&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Austin residents frustrated by proposed changes to short-term rental rules,346,11 months,The rules would add regulations for short-term rental owners and require rental platforms to collect hotel occupancy taxes.,2026-02-03 04:17:37.855741
/watch?v=epxNwpy6mXI&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@CBSAustin,CBS Austin,Austin cleanup effort sparks debate over approach to homelessness crisis,816,3 months,"A major cleanup effort is underway across Austin, led by state troopers and the National Guard. Governor Greg Abbott says the ...",2026-02-03 04:17:37.859257
/watch?v=3HHU60KmLmQ&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@RealEstateInAustin,Craig Smyser with 1835 Realty,Central Texas Housing Report - 2025 Year End Wrap Up | Austin Texas Real Estate,No,7 days,"Greetings! I'm Craig Smyser. Welcome to the 2025 Year End edition of ""How's the Market in Central Texas.” The stats I'm ...",2026-02-03 04:17:37.860904
/watch?v=Q3TH59Qw-tw&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@inaustinwithdawson,Moving To Austin Texas - Your Air Force Realtor ,Moving To Austin TX in 2026? These 10 Suburbs Are About to BLOW UP ,100,3 weeks,Thinking about moving to Austin in 2026? This video breaks down 10 Austin-area suburbs that are positioned for major growth ...,2026-02-03 04:17:37.862286
/shorts/v13cT8uaYjA,/@andrew_yanni,Andrew Yanni,How Austin Dropped Rents by 22%,218,8 months,"Austin, TX just proved that the secret to lower rent isn't waiting—it's building. With 50000 new units added in just one year, the city ...",2026-02-03 04:17:37.863681
/shorts/YGjFgkVGqJ4,/@ReventureConsulting,Reventure Consulting,Austin Just Broke the U.S. Rental Market,96K,3 weeks,"Austin, Texas just did something no other housing market has done. It got cheap again. Studio apartments are back near $700.",2026-02-03 04:17:37.867197
/watch?v=aUmT86mWzB4&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@CBSAustin,CBS Austin,WATCH LIVE: Save Austin Now speaks out on amended budget,365,Streamed 2 months,Save Austin Now is expected to make an announcement following the rejection of Prop Q. MORE: ...,2026-02-03 04:17:37.868576
/shorts/U4DPfXEQjCs,/@ReventureConsulting,Reventure Consulting,"Massive Price Cuts are happening on Houses in Austin, TX",55K,1 year,"Home prics in Austin, TX have collapsed by nearly 17% from their peak in mid-2022, with a huge surge of sellers cutting the price ...",2026-02-03 04:17:37.870048
/watch?v=KjmQ8DP4aSo&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@farmandcity,Farm&City,"Policy Hacking with Farm&City: eTOD, August 5, 2021",17,4 years,"Let's talk about the future of equitable Transit Oriented Development (eTOD) in Austin, and what that means for access to housing ...",2026-02-03 04:17:37.871348
/watch?v=88k9zyqKfww&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,"City leaders celebrate 156 affordable apartments opening, groundbreaking for more",211,3 years,City leaders celebrated the opening of 156 new affordable apartments and the groundbreaking of another development that will ...,2026-02-03 04:17:37.874684
/watch?v=VMVsxrdQg-c&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@LegeLawyer,Sam Hooper,Texas Legislative Update: 12 days to go!,5,8 months,Cottage food victory; optimism for our food truck bill; fighting hard on housing/zoning reform; mixed success on occupational ...,2026-02-03 04:17:37.876536
/watch?v=67NTu8gdskY&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@LegeLawyer,Sam Hooper,Analyzing Texas housing reform bills filed in 2025,7,1 year,"Reviewing three housing-related bills filed in the Texas legislature: HB 878 and SB 673 focused on ADUs and minimum lot size, ...",2026-02-03 04:17:37.877788
